LAMMPS polymer data

150 atoms
149 bonds

1 atom types
1 bond types

-15.94863738 15.21248464 xlo xhi
-19.68687621 18.77455788 ylo yhi
-14.54338568 15.24768473 zlo zhi

Masses

1 1.00000000

Atoms

1 1 1 -4.92296035 3.96304306 -2.21527211
2 1 1 -4.22297764 3.37009069 -2.61330692
3 1 1 -4.79890452 3.22969521 -1.80795150
4 1 1 -4.68734677 2.24881050 -1.96738820
5 1 1 -4.13195170 1.43272400 -2.12719790
6 1 1 -4.07395628 2.06585672 -2.89906544
7 1 1 -4.70150150 2.74225945 -3.28463818
8 1 1 -5.58607089 2.28343601 -3.20086441
9 1 1 -5.94863738 2.06118885 -2.29579439
10 1 1 -5.34159649 1.46759303 -1.76745230
11 1 1 -4.75530562 0.69181403 -1.53415002
12 1 1 -4.28364734 0.30418508 -2.32616155
13 1 1 -5.09288569 0.70352483 -2.75704560
14 1 1 -4.20160242 0.71719311 -3.21028651
15 1 1 -3.95234956 0.22216588 -4.04264524
16 1 1 -3.09444504 -0.27735131 -4.16298816
17 1 1 -2.19516268 -0.61986975 -4.43496674
18 1 1 -1.82405506 -1.54445927 -4.34886593
19 1 1 -1.50748166 -1.54603363 -3.40029922
20 1 1 -1.27754028 -0.82595919 -2.74560864
21 1 1 -0.85182719 -0.58442668 -1.87358203
22 1 1 -0.12495911 0.10231436 -1.86654304
23 1 1 0.12024184 0.31648131 -0.92102254
24 1 1 0.87757638 0.84472714 -1.30495058
25 1 1 0.65375709 1.71982043 -1.73403875
26 1 1 0.24539413 1.90236555 -0.83965797
27 1 1 -0.70169353 1.58186441 -0.82222312
28 1 1 -0.68302608 0.60677769 -0.60118600
29 1 1 -1.23980795 0.72885805 0.22045281
30 1 1 -0.56122197 1.46120833 0.27688093
31 1 1 -0.86011635 1.08445772 1.15364836
32 1 1 -0.04033817 1.52865345 1.51510914
33 1 1 0.55093695 1.67546112 2.30810424
34 1 1 0.78602375 2.06556005 3.19836096
35 1 1 0.30180417 1.26510050 3.55162561
36 1 1 -0.66618488 1.24032170 3.80139189
37 1 1 -0.12478865 1.90312792 4.31867135
38 1 1 0.87084779 1.98163134 4.26822037
39 1 1 0.73493873 2.13055514 5.24768473
40 1 1 1.35713871 2.77658117 4.80551106
41 1 1 1.49156871 3.74662955 5.00783434
