1.000000000000000000e+01,1.594666666666666721e+01
1.400000000000000000e+01,2.163265306122448806e+01
2.100000000000000000e+01,3.499395770392749228e+01
3.100000000000000000e+01,7.427877947295422700e+01
4.600000000000000000e+01,1.323742911153119053e+02
6.800000000000000000e+01,2.807779700115340233e+02
1.000000000000000000e+02,6.196134666666666817e+02
1.460000000000000000e+02,1.352854068931006395e+03
2.150000000000000000e+02,3.225491286821705216e+03
3.160000000000000000e+02,7.541106666666666570e+03
4.640000000000000000e+02,1.705375864942528642e+04
6.810000000000000000e+02,3.680911431228585570e+04
1.000000000000000000e+03,8.434817934666667134e+04
