3.160000000000000000e+02,1.077365000000000009e+03
3.590000000000000000e+02,1.212627500000000055e+03
4.080000000000000000e+02,1.403970000000000027e+03
4.640000000000000000e+02,1.595552500000000009e+03
5.270000000000000000e+02,1.808259999999999991e+03
5.990000000000000000e+02,2.225014999999999873e+03
6.810000000000000000e+02,2.682940000000000055e+03
7.740000000000000000e+02,3.059742499999999836e+03
8.790000000000000000e+02,3.483550000000000182e+03
1.000000000000000000e+03,3.987750000000000000e+03
