1.000000000000000000e+02,5.975435999999999694e+02
1.230000000000000000e+02,9.717764166740107612e+02
1.510000000000000000e+02,1.463401555464592775e+03
1.870000000000000000e+02,2.389160292828001730e+03
2.310000000000000000e+02,3.818748455988456044e+03
2.840000000000000000e+02,5.674404084507042171e+03
3.510000000000000000e+02,9.155741329534663237e+03
4.320000000000000000e+02,1.499687637345678922e+04
5.330000000000000000e+02,2.246539095684803033e+04
6.570000000000000000e+02,3.533601930999492470e+04
8.110000000000000000e+02,5.532148614878750232e+04
1.000000000000000000e+03,8.536152291333333415e+04
