1.000000000000000000e+02,2.034986000000000104e+02
1.270000000000000000e+02,2.643501999999999725e+02
1.630000000000000000e+02,3.427076000000000136e+02
2.090000000000000000e+02,4.416258000000000266e+02
2.680000000000000000e+02,5.768644000000000460e+02
3.430000000000000000e+02,7.467513999999999896e+02
4.390000000000000000e+02,9.417975999999999885e+02
5.620000000000000000e+02,1.234974200000000110e+03
7.190000000000000000e+02,1.593651399999999967e+03
9.210000000000000000e+02,2.047035000000000082e+03
1.178000000000000000e+03,2.615092599999999948e+03
1.508000000000000000e+03,3.372949599999999919e+03
1.930000000000000000e+03,4.342207000000000335e+03
2.470000000000000000e+03,5.613689000000000306e+03
3.162000000000000000e+03,7.293743400000000292e+03
