step,T,N,E,E_per_bead,Rg,Ree,local_acceptance,pivot_acceptance,production
1000,3.0,100,112.54050221009085,1.1254050221009084,6.96180924529731,16.549534882700975,0.6344969199178645,0.07692307692307693,False
2000,3.0,100,104.60348682626388,1.0460348682626388,6.957867545168024,16.285459878497726,0.63697219361483,0.034482758620689655,False
3000,3.0,100,145.75444431057534,1.4575444431057534,6.931679118090281,16.384500457824927,0.6393949810931592,0.02197802197802198,False
4000,3.0,100,123.64388448903756,1.2364388448903756,6.915714375490892,15.961289972195983,0.6322047040578961,0.015267175572519083,False
5000,3.0,100,180.32354599821875,1.8032354599821874,6.896780708153496,15.908726561490672,0.6314699792960663,0.011764705882352941,False
6000,3.0,100,119.44850158698694,1.1944850158698694,6.870309079807239,16.314615790384323,0.6313244690036263,0.009569377990430622,False
7000,3.0,100,121.05817934413976,1.2105817934413976,6.8241238087166,16.23093829142971,0.6338902853763123,0.008438818565400843,False
8000,3.0,100,92.70305341159225,0.9270305341159225,6.816168499485169,16.654614426149465,0.6345781108670371,0.007662835249042145,False
9000,3.0,100,134.63430567836102,1.34634305678361,8.119492111701176,22.692915912932452,0.6360505166475315,0.027586206896551724,False
10000,3.0,100,129.22569661080985,1.2922569661080985,8.11698198112463,23.109202133725937,0.636945965492303,0.024922118380062305,False
11000,3.0,100,61.07158065325942,0.6107158065325942,8.143144839813958,23.230082013347165,0.6367649821529213,0.022598870056497175,False
12000,3.0,100,154.61937626340568,1.546193762634057,8.199461736665643,22.429635463686743,0.6388003102645867,0.030226700251889168,False
13000,3.0,100,103.86506591502507,1.0386506591502507,8.165903572815257,22.43745799682201,0.6393038779402416,0.028846153846153848,False
14000,3.0,100,91.4808632841517,0.9148086328415169,8.204414826248824,23.09867744343534,0.6412393950571744,0.02696629213483146,False
15000,3.0,100,128.79678487878508,1.2879678487878508,8.206374931761905,23.386812780523016,0.6435800344234079,0.02526315789473684,False
16000,3.0,100,170.63308521729127,1.7063308521729126,9.069871431495766,29.328242420515334,0.6428156655268081,0.02594810379241517,False
17000,3.0,100,143.35976451668455,1.4335976451668455,9.075454062991147,29.056330998239698,0.6418381594123718,0.024667931688804556,False
18000,3.0,100,110.65526310705899,1.1065526310705898,9.073468652239908,29.31418173104065,0.6402292263610315,0.023636363636363636,False
19000,3.0,100,95.08512400296662,0.9508512400296663,11.314336636306859,37.9607384549915,0.6411857321244367,0.027538726333907058,False
20000,3.0,100,135.38705431417438,1.3538705431417437,9.757597178671274,33.03052411149616,0.6414063305495412,0.029900332225913623,False
21000,3.0,100,139.12538009578526,1.3912538009578526,9.89740119327257,35.134631485710266,0.6410168327035383,0.030497592295345103,False
22000,3.0,100,80.14829373224057,0.8014829373224057,9.961731259376878,35.69386358416235,0.6411684846215064,0.03129890453834116,False
23000,3.0,100,73.5233599826159,0.735233599826159,9.983214521514563,35.814895427756845,0.6418177747929259,0.03007518796992481,False
24000,3.0,100,120.23081201884499,1.2023081201884498,9.98346211125763,34.96864315384072,0.6427008708335121,0.030478955007256895,False
25000,3.0,100,142.76570417243042,1.4276570417243042,9.972008401317742,34.696713780894186,0.6416920668918362,0.029085872576177285,False
