step,T,N,E,E_per_bead,Rg,Ree,local_acceptance,pivot_acceptance,production
1000,1.2,150,-5.368840222162416,-0.03579226814774944,9.553338339039442,24.605245281450014,0.478844169246646,0.25806451612903225,False
2000,1.2,150,6.199416235963069,0.04132944157308713,9.546357601521096,24.447747965146114,0.4855521155830753,0.12903225806451613,False
3000,1.2,150,-1.1560874250582092,-0.007707249500388061,9.54239759245202,24.599952481087318,0.4865794907088782,0.0851063829787234,False
4000,1.2,150,18.263888708156745,0.1217592580543783,9.559604811273472,25.37308202484353,0.4874709377421855,0.06201550387596899,False
5000,1.2,150,-6.0589546597680695,-0.04039303106512046,9.550794096843026,25.461447482466365,0.4919421487603306,0.05,False
6000,1.2,150,1.4300876267052949,0.009533917511368633,9.54379588772224,25.50927175359586,0.49362288865908305,0.04040404040404041,False
7000,1.2,150,-15.937401942947238,-0.10624934628631492,9.560757975107109,25.158095871133156,0.49386910917417637,0.03463203463203463,False
8000,1.2,150,-10.71067895945387,-0.07140452639635914,7.059928451613662,18.14966710017998,0.4930833872010343,0.045283018867924525,False
9000,1.2,150,-15.24261340325127,-0.1016174226883418,7.059467068894066,18.26737434811543,0.4923501668008743,0.03908794788273615,False
10000,1.2,150,-0.644533440457862,-0.0042968896030524135,7.036180427024174,18.307037418731824,0.49291257113295395,0.03582089552238806,False
11000,1.2,150,-8.571323422269087,-0.05714215614846058,7.002029308641334,18.07415317113151,0.49078427684784653,0.03278688524590164,False
12000,1.2,150,-6.491949387617054,-0.04327966258411369,6.9936107888534185,17.870252220640257,0.49039041627165386,0.030226700251889168,False
13000,1.2,150,7.949655238050435,0.0529977015870029,7.0249890046455885,18.053521410257737,0.4912197059992054,0.02891566265060241,False
14000,1.2,150,7.309783602463558,0.04873189068309038,7.03629274675739,17.976329956523788,0.49317393550291494,0.026726057906458798,False
15000,1.2,150,-3.112924436068563,-0.020752829573790422,7.010567200879717,17.50157350186738,0.49352884482996007,0.02531645569620253,False
16000,1.2,150,-13.058922798986366,-0.08705948532657577,6.996044876576003,17.23430160471604,0.4913152967004584,0.023391812865497075,False
17000,1.2,150,-8.967883759647338,-0.05978589173098225,7.008532266656201,17.212556477193655,0.4917973022238425,0.02214022140221402,False
18000,1.2,150,-5.35415912190013,-0.03569439414600087,7.001455860862632,17.014798981747845,0.4906158526086208,0.02079722703639515,False
19000,1.2,150,-38.84189005899183,-0.2589459337266122,6.974740370504421,17.33696569451212,0.4915991517590126,0.019704433497536946,False
20000,1.2,150,-18.137563890634603,-0.12091709260423068,6.985905568084024,17.17576361429103,0.49145012140311,0.01866251944012442,False
