step,T,N,E,E_per_bead,Rg,Ree,local_acceptance,pivot_acceptance,production
1000,1.0,200,-49.31613141179882,-0.2465806570589941,10.615729396923593,31.809388657412327,0.45595854922279794,0.08571428571428572,False
2000,1.0,200,-59.627834966469614,-0.2981391748323481,10.49620838974186,29.360533675183497,0.47007223942208465,0.0967741935483871,False
3000,1.0,200,-50.06978498060879,-0.25034892490304395,10.476324892663891,29.600454307696584,0.47514569763455605,0.07228915662650602,False
4000,1.0,200,-34.845342909497894,-0.17422671454748948,10.469042914540136,29.46726840243348,0.46810699588477367,0.05357142857142857,False
5000,1.0,200,-45.159283060227594,-0.22579641530113798,10.468926309985033,29.395446690412104,0.46491047540646224,0.0425531914893617,False
6000,1.0,200,-56.113847029954506,-0.28056923514977256,10.459454713038674,29.043266824444714,0.4623175965665236,0.03428571428571429,False
7000,1.0,200,-54.67518030645809,-0.27337590153229047,10.424594026565217,28.84154660334671,0.45990566037735847,0.027777777777777776,False
8000,1.0,200,-84.71541739883733,-0.42357708699418667,10.430084046124295,29.061170040588806,0.45709123757904246,0.02390438247011952,False
9000,1.0,200,-76.47126071672471,-0.38235630358362355,10.427761793142556,29.718556849555277,0.45543191464953536,0.02120141342756184,False
10000,1.0,200,-75.63043294039767,-0.3781521647019883,10.439007327930616,29.95812973090074,0.4537190082644628,0.01875,False
11000,1.0,200,-79.64525591812266,-0.3982262795906133,10.460752995254682,30.381090964420544,0.4509527832535436,0.01729106628242075,False
12000,1.0,200,-87.74175010155892,-0.4387087505077946,10.835385301054641,30.310428032332297,0.4522600086095566,0.02077922077922078,False
13000,1.0,200,-89.95181799072638,-0.4497590899536319,10.842440530043918,30.10141102155208,0.45237149439898305,0.01937046004842615,False
14000,1.0,200,-103.78952565894946,-0.5189476282947473,10.824445398665551,29.814227262962962,0.45196989818503763,0.017937219730941704,False
15000,1.0,200,-95.28228073709792,-0.4764114036854896,10.828778679334924,30.327769344784546,0.4530055773600496,0.016771488469601678,False
16000,1.0,200,-83.06078829229136,-0.4153039414614568,10.812202869165741,30.346413999589117,0.45019688851591244,0.015717092337917484,False
17000,1.0,200,-105.77032709273513,-0.5288516354636756,10.776897048314153,30.27432239221386,0.45133065986146553,0.014760147601476014,False
18000,1.0,200,-105.84458519215886,-0.5292229259607943,10.786936448962116,30.722956804417812,0.45166102472890013,0.014010507880910683,False
19000,1.0,200,-104.41466625253379,-0.522073331262669,10.780127364408964,30.64076990803237,0.450682028150644,0.01335559265442404,False
