step,T,N,E,E_per_bead,Rg,Ree,local_acceptance,pivot_acceptance,production
1000,0.6,50,-26.880224078852404,-0.5376044815770481,3.293947141105535,8.975880086869026,0.340956340956341,0.10526315789473684,False
2000,0.6,50,-27.354775861155332,-0.5470955172231067,3.306221459152141,9.021833564516694,0.3376355188435725,0.06349206349206349,False
3000,0.6,50,-26.071938463931087,-0.5214387692786218,3.2803912359091507,9.158477983361173,0.35566298342541436,0.038461538461538464,False
4000,0.6,50,-33.333280223266264,-0.6666656044653253,3.2772604750161305,8.407950511479333,0.35755059678256357,0.0273972602739726,False
5000,0.6,50,-35.07868627993662,-0.7015737255987324,3.285460726508614,9.393109969811174,0.3479883865615927,0.0449438202247191,False
6000,0.6,50,-41.35006178030626,-0.8270012356061253,3.4251169274090705,7.193062981796322,0.34922279792746114,0.047619047619047616,False
7000,0.6,50,-44.95390330395183,-0.8990780660790366,3.542272505934246,8.82499914866905,0.34723454599230996,0.0546218487394958,False
8000,0.6,50,-49.848820763250636,-0.9969764152650127,3.550241842363824,8.946826131169185,0.34544749094671495,0.048507462686567165,False
9000,0.6,50,-58.800509231135756,-1.1760101846227151,3.478435958458882,9.049031525326166,0.33911943901597885,0.04318936877076412,False
10000,0.6,50,-57.391551135577025,-1.1478310227115405,3.519732201103901,8.965625298508742,0.33519668737060043,0.03823529411764706,False
11000,0.6,50,-58.04835210719542,-1.1609670421439084,3.5277738927128968,8.376922008538763,0.3360925594958141,0.03523035230352303,False
12000,0.6,50,-60.75620954293573,-1.2151241908587145,3.5164152310090446,8.84306806998719,0.3356329768885823,0.03217821782178218,False
13000,0.6,50,-57.88100556035615,-1.157620111207123,3.5008599499592834,8.777391822811632,0.3329088738559491,0.03218390804597701,False
14000,0.6,50,-55.977176360451566,-1.1195435272090313,3.4727695080804946,8.857106117595587,0.3326434062684802,0.029661016949152543,False
15000,0.6,50,-60.81575742438439,-1.2163151484876877,3.439574644805534,9.394631604627119,0.33264391589107206,0.028282828282828285,False
16000,0.6,50,-58.943469360993404,-1.1788693872198681,3.4232663002718584,9.029349622657493,0.330618050168089,0.02631578947368421,False
17000,0.6,50,-67.82587546008753,-1.3565175092017505,3.3693359959753586,9.140008411366713,0.3263369227961307,0.02486678507992895,False
18000,0.6,50,-71.64990456336675,-1.432998091267335,3.291598901157444,9.07384111907651,0.323358796163345,0.023769100169779286,False
19000,0.6,50,-72.49907313529346,-1.4499814627058691,3.2636852193086696,8.82144197145724,0.32248585111014366,0.022435897435897436,False
20000,0.6,50,-63.49202770434684,-1.2698405540869369,3.2704903073016585,8.804549080685264,0.3220268872802482,0.021212121212121213,False
21000,0.6,50,-65.3165258300399,-1.306330516600798,3.265082959462292,9.300890721417655,0.3202578993995472,0.020527859237536656,False
22000,0.6,50,-62.15652395483833,-1.2431304790967665,3.3047136506641555,8.834451925445032,0.31885692799398385,0.019337016574585635,False
