step,T,N,E,E_per_bead,Rg,Ree,local_acceptance,pivot_acceptance,production
1000,0.6,200,-74.38164053370842,-0.3719082026685421,10.278291835356173,27.148084131143523,0.31069958847736623,0.17857142857142858,False
2000,0.6,200,-112.78547876585385,-0.5639273938292693,9.325627752826346,20.804750503316203,0.31614234141309955,0.21311475409836064,False
3000,0.6,200,-119.45146719578825,-0.5972573359789413,9.323577087487386,20.842593394743815,0.3196974905465796,0.14285714285714285,False
4000,0.6,200,-114.07366958205867,-0.5703683479102933,9.290819496315768,20.49640535270668,0.3303295571575695,0.11206896551724138,False
5000,0.6,200,-136.59651872922169,-0.6829825936461085,9.294589698356704,20.428110503690085,0.3380716934487021,0.08904109589041095,False
6000,0.6,200,-149.77520644691145,-0.7488760322345572,9.287064912493879,20.511080288233856,0.3367662203913491,0.07471264367816093,False
7000,0.6,200,-147.62521368660197,-0.7381260684330099,9.291066377265915,20.535222799748095,0.3386266725481547,0.06532663316582915,False
8000,0.6,200,-152.80000861731207,-0.7640000430865603,9.280207521446217,21.087413668241343,0.33908341915550977,0.05603448275862069,False
9000,0.6,200,-150.93997190234492,-0.7546998595117246,9.281263235362475,21.389201794990747,0.3406983400114482,0.04905660377358491,False
10000,0.6,200,-155.36436868961735,-0.7768218434480868,9.275835224066121,21.435590406479406,0.34010518717129007,0.0429042904290429,False
11000,0.6,200,-148.36275940468744,-0.7418137970234372,9.257059154188111,21.44663970744817,0.3428410583599174,0.038011695906432746,False
12000,0.6,200,-151.62991313383276,-0.7581495656691638,9.253450872311276,21.2701503870661,0.3445161290322581,0.034666666666666665,False
13000,0.6,200,-158.54337041777632,-0.7927168520888815,9.251850824571902,21.55478980334098,0.34175204511158763,0.03178484107579462,False
14000,0.6,200,-178.22797224600427,-0.8911398612300213,9.249756098233402,21.336806122279366,0.34188412206988056,0.029953917050691243,False
15000,0.6,200,-181.25099044760637,-0.9062549522380319,9.224144820763968,21.546403731682584,0.3411748521117072,0.02813852813852814,False
16000,0.6,200,-183.14866785352746,-0.9157433392676373,9.220789803885113,21.35211821207612,0.3403843673416742,0.02631578947368421,False
17000,0.6,200,-184.03126806912275,-0.9201563403456138,9.213833467303008,21.38830521155149,0.34072005342723577,0.024574669187145556,False
18000,0.6,200,-185.14512999322713,-0.9257256499661356,9.201360496411965,21.471425463417148,0.3401192797339144,0.023131672597864767,False
19000,0.6,200,-199.18506511675957,-0.9959253255837979,9.204246221415413,21.436518160473284,0.3383838383838384,0.02218430034129693,False
20000,0.6,200,-198.63995582716052,-0.9931997791358026,9.203132599577966,21.38186570690901,0.3378559636813867,0.021103896103896104,False
21000,0.6,200,-204.245765194906,-1.02122882597453,9.200534155104647,21.493587528600862,0.33704940575581965,0.02037617554858934,False
22000,0.6,200,-202.44965051502095,-1.0122482525751046,9.192277279517702,21.356926809314228,0.3364893367705648,0.019548872180451128,False
23000,0.6,200,-215.974040549948,-1.07987020274974,9.186222114051468,21.33787414584617,0.3361740300515811,0.018439716312056736,False
24000,0.6,200,-219.41540497053794,-1.0970770248526898,9.192513773278858,21.495294820610113,0.3353676881420037,0.017735334242837655,False
25000,0.6,200,-219.70497811313243,-1.0985248905656622,9.180411790807344,21.46748050678158,0.33509365459196305,0.01706036745406824,False
26000,0.6,200,-210.51224382664734,-1.0525612191332367,9.186524196576658,21.36533233483,0.33569983738547576,0.016518424396442185,False
27000,0.6,200,-222.41513292609025,-1.1120756646304513,9.180971995288765,21.69535207356292,0.3364914425427873,0.015776699029126214,False
28000,0.6,200,-222.3276096524023,-1.1116380482620114,9.183408055060879,21.70426251978811,0.3359366365813225,0.0152046783625731,False
29000,0.6,200,-221.23174219556657,-1.1061587109778328,9.199385600521904,21.812090565641352,0.33642666666666665,0.014857142857142857,False
30000,0.6,200,-238.64085455445093,-1.1932042727722547,9.191806677762733,21.598931853909928,0.3362439410086287,0.014270032930845226,False
31000,0.6,200,-236.5269199642335,-1.1826345998211676,9.179758550963218,21.257571375249356,0.33542956012510816,0.013742071881606765,False
32000,0.6,200,-249.63176669225217,-1.2481588334612608,9.17876595538951,21.384104269223553,0.334493538302878,0.013388259526261586,False
33000,0.6,200,-250.47803295876597,-1.2523901647938298,9.171062065381042,21.45417697629056,0.33397930797361924,0.012909632571996028,False
34000,0.6,200,-253.4708283131004,-1.267354141565502,9.165204835056533,21.466075078392848,0.3336063584516442,0.012548262548262547,False
