step,T,N,E,E_per_bead,Rg,Ree,local_acceptance,pivot_acceptance,production
1000,0.8,150,-52.827667586054716,-0.3521844505736981,10.648688745317738,28.966540294421094,0.37551020408163266,0.15,False
2000,0.8,150,-58.49593424308371,-0.3899728949538914,8.70612987655853,27.043717361762432,0.3940329218106996,0.10714285714285714,False
3000,0.8,150,-57.90334865434392,-0.38602232436229283,8.730795735545799,27.137923724452385,0.3936060501890684,0.06593406593406594,False
4000,0.8,150,-61.04865004998175,-0.40699100033321167,8.007247232548481,19.850947452324156,0.40092759598041744,0.07563025210084033,False
5000,0.8,150,-57.96397930873274,-0.3864265287248849,8.286401584803306,22.19442348129565,0.3988439306358382,0.08974358974358974,False
6000,0.8,150,-61.80156999612779,-0.41201046664085195,8.978649486742405,27.810496549204213,0.4012716961677264,0.08287292817679558,False
7000,0.8,150,-72.0384074231257,-0.4802560494875047,8.961393599929313,28.00963819344464,0.40188429265420283,0.07246376811594203,False
8000,0.8,150,-67.02878880718843,-0.4468585920479229,6.644127915839003,4.951916342062464,0.40216271884654997,0.06896551724137931,False
9000,0.8,150,-79.0720529789801,-0.5271470198598673,6.611341246463232,4.752916889020424,0.4024250743536948,0.06589147286821706,False
10000,0.8,150,-71.72249933519893,-0.47814999556799287,6.604791141962525,3.973935655651584,0.40121549237742066,0.05821917808219178,False
11000,0.8,150,-77.23519059662736,-0.5149012706441825,6.583930861746407,3.889332202914961,0.40056206088992974,0.052307692307692305,False
12000,0.8,150,-75.38811047498271,-0.5025874031665514,6.569631636318383,3.8503220943599685,0.40226531662948345,0.049132947976878616,False
13000,0.8,150,-78.98202335017037,-0.5265468223344691,7.319972439475313,16.874913169279107,0.4014101243761388,0.05305039787798409,False
14000,0.8,150,-91.49396994269398,-0.6099597996179599,6.373536364571317,19.49455490544914,0.40223628071207884,0.05665024630541872,False
15000,0.8,150,-116.48599972126158,-0.7765733314750772,6.359084865664314,19.463193308669286,0.4014007140895358,0.052752293577981654,False
16000,0.8,150,-103.7772572051003,-0.6918483813673353,6.358709549521057,19.610529307081162,0.4015692327480867,0.050997782705099776,False
17000,0.8,150,-108.90722594363304,-0.7260481729575535,6.334641886315909,19.792448409994027,0.4021180030257186,0.04842105263157895,False
18000,0.8,150,-104.56289806468894,-0.6970859870979262,6.335558767317517,19.480983659642135,0.399725745629071,0.04618473895582329,False
19000,0.8,150,-102.79710791474818,-0.6853140527649879,6.300913828309418,19.42446142814969,0.39945858148348673,0.04339622641509434,False
20000,0.8,150,-117.65967247652053,-0.7843978165101368,6.315263030894667,19.486731864908037,0.39762321226463626,0.04092526690391459,False
21000,0.8,150,-111.74816214449986,-0.7449877476299991,6.309625944764672,20.10709896938638,0.3966682998530132,0.03898305084745763,False
22000,0.8,150,-114.32141466758877,-0.7621427644505918,6.3045367230920775,20.336254288628215,0.3960039305601048,0.03656597774244833,False
23000,0.8,150,-113.74229823406992,-0.7582819882271328,6.2948539118152365,20.068274581003486,0.3956589841127769,0.035114503816793895,False
24000,0.8,150,-115.57591353361978,-0.7705060902241319,6.319214914470462,19.893737706471022,0.3942773797777873,0.033381712626995644,False
25000,0.8,150,-102.42566766565827,-0.6828377844377218,6.309476439036199,19.712723697537523,0.39425888554837113,0.031988873435326845,False
26000,0.8,150,-110.81106988710616,-0.7387404659140411,6.2841403738318276,19.458854971001408,0.3935938551688641,0.03095558546433378,False
27000,0.8,150,-108.09054042451388,-0.7206036028300925,6.262536193376925,19.08348232505647,0.39360079322706126,0.02956298200514139,False
28000,0.8,150,-103.80368092012232,-0.6920245394674821,6.298166989679919,18.73762319060455,0.3940140456668015,0.028642590286425903,False
29000,0.8,150,-105.86552518840557,-0.7057701679227038,6.275338188139253,18.560273270121368,0.3941211970605985,0.027677496991576414,False
30000,0.8,150,-105.29149697648062,-0.7019433131765375,6.245695854859665,18.58946105770805,0.3932495536327428,0.026255707762557076,False
31000,0.8,150,-102.40658123637604,-0.6827105415758403,6.225717212099957,18.36579259649913,0.3935537464695132,0.02541436464088398,False
32000,0.8,150,-108.4557294229743,-0.723038196153162,6.2214346787031705,18.503859833512397,0.39340885684860966,0.02478448275862069,False
33000,0.8,150,-115.08511618108345,-0.7672341078738897,6.205946815188393,18.32083167584108,0.393751170485049,0.02390852390852391,False
34000,0.8,150,-120.6817040343897,-0.804544693562598,6.194553535907068,18.849556362325085,0.393842051033396,0.022954091816367265,False
35000,0.8,150,-129.5498493525274,-0.8636656623501826,6.183138597906505,19.030335142289005,0.39357004062886414,0.022243713733075435,False
36000,0.8,150,-137.3004766798743,-0.9153365111991619,6.142477515475157,19.302892456563278,0.39314135226426977,0.021575984990619138,False
37000,0.8,150,-128.25660402752507,-0.8550440268501671,6.117413140519765,18.940720511855957,0.3925457533636034,0.02089009990917348,False
38000,0.8,150,-142.76154369343757,-0.9517436246229172,6.103906010246356,18.735913385140226,0.3922121590107923,0.020499108734402853,False
39000,0.8,150,-145.38157977030912,-0.9692105318020607,6.104717454733877,18.687184300752104,0.39173160744947827,0.020087336244541485,False
40000,0.8,150,-143.97711778380676,-0.9598474518920451,6.113640751061635,18.11090442564802,0.3907847631802612,0.0196078431372549,False
41000,0.8,150,-131.58914836424472,-0.8772609890949649,6.096341174207413,18.20765405003213,0.3897517088862083,0.01903973509933775,False
42000,0.8,150,-135.55554522468483,-0.9037036348312323,6.100217365539741,18.053917935102106,0.38956897186173733,0.018593371059013743,False
43000,0.8,150,-146.20424332963626,-0.9746949555309083,6.094811949668731,18.028309191393543,0.3888196674174534,0.018167456556082148,False
44000,0.8,150,-134.05590052180992,-0.8937060034787327,6.094223930620251,18.271973643380843,0.3886495598426672,0.017857142857142856,False
45000,0.8,150,-150.8012533225881,-1.0053416888172542,6.096470472109564,18.747887830663874,0.388448859994506,0.017477203647416412,False
46000,0.8,150,-136.45434007687606,-0.9096956005125071,6.073619040940507,18.329528690932154,0.387891272222471,0.0171898355754858,False
47000,0.8,150,-141.34326684459862,-0.9422884456306574,6.048577006832789,18.16253701044024,0.3881110453778567,0.01689933872152829,False
48000,0.8,150,-132.1713481070627,-0.8811423207137513,6.057042563575111,18.38786322802782,0.3875134091396696,0.016546762589928057,False
49000,0.8,150,-141.20771587829057,-0.9413847725219372,6.0534967617897975,18.538565430571275,0.386685998865284,0.01630049610205528,False
50000,0.8,150,-154.89151608891154,-1.0326101072594103,6.037084727235359,18.162368488208294,0.3868775484987026,0.0159500693481276,False
51000,0.8,150,-162.43119528586692,-1.0828746352391128,6.046930804933013,17.534494452911485,0.3867242701982477,0.015688949522510234,False
52000,0.8,150,-154.81144029938588,-1.0320762686625726,6.064022815270206,17.957394755406725,0.38666429024081117,0.015292553191489361,False
53000,0.8,150,-143.3474755954159,-0.9556498373027725,6.086999065069199,18.216532441382935,0.3865583772125828,0.015003261578604044,False
54000,0.8,150,-150.7622451369106,-1.0050816342460707,6.074572787154475,18.065315719837212,0.3862024254442834,0.014781491002570694,False
55000,0.8,150,-149.7228426718816,-0.9981522844792107,6.0712544195227975,18.244494319726297,0.38553269558380293,0.014529374605180037,False
56000,0.8,150,-144.7288611000076,-0.9648590740000507,6.0333590177012075,18.125559190099672,0.3854258605472198,0.014232673267326733,False
57000,0.8,150,-146.16287478712553,-0.9744191652475035,6.04387410857403,18.05965726888817,0.3851532013296719,0.013956310679611651,False
58000,0.8,150,-167.55331720994087,-1.117022114732939,6.025315419727515,17.868941442190685,0.3847068849199304,0.013739545997610514,False
59000,0.8,150,-159.82879266955905,-1.065525284463727,6.023737323718496,18.043933855718933,0.383902387934646,0.013434579439252336,False
60000,0.8,150,-174.08585402295952,-1.1605723601530635,6.007563013394694,17.739225159606775,0.3841374457202684,0.013241220495106506,False
61000,0.8,150,-165.86471722812877,-1.1057647815208584,5.985992407837752,17.89800540579598,0.3832297926936323,0.013038548752834467,False
62000,0.8,150,-175.4572605096431,-1.1697150700642873,5.985540781646085,17.98116342594057,0.38304763803069564,0.012806236080178173,False
63000,0.8,150,-166.33523562550633,-1.108901570836709,5.98560311613923,18.01581943473165,0.3823673629498872,0.012651265126512651,False
64000,0.8,150,-164.5828335067448,-1.0972188900449653,6.006713791086232,18.31901981858916,0.3823903215946203,0.012493210211841391,False
